Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures,BestSolution,Convergence,Run
1,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.08555555555555555,1.9360954761505127,0.9333333333333333,0.06666666666666665,1.0,1.0,0.8571428571428571,0.8888888888888888,0.9411764705882353,0.8728715609439694,0.9642857142857142,"[[6,1],
 [0,8]]","[6, 1, 0, 8]","(2, 2)",44,"[0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 1 0 1 0 0 1 0 1 0 1 1 1 1 1 0
 1 1 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 1 1 1 1 1 0 1 1 0 0 1 0 0 0 0 1 0 1
 0 0 1 0 0 1 1 1 1 0 0 0 1 0 1 1 0 0 1 1 1 1 0 1 1]","[0.09262626 0.09262626 0.09262626 0.09262626 0.09262626 0.09262626
 0.09262626 0.09262626 0.09262626 0.09262626 0.09262626 0.08858586
 0.08858586 0.08858586 0.08858586 0.08858586 0.08858586 0.08858586
 0.08858586 0.08858586 0.08858586 0.08858586 0.08808081 0.08808081
 0.08808081 0.08808081 0.08808081 0.08808081 0.08808081 0.08808081
 0.08808081 0.08808081 0.08808081 0.08808081 0.08555556 0.08555556
 0.08555556 0.08555556 0.08555556 0.08555556 0.08555556 0.08555556
 0.08555556 0.08555556 0.08555556 0.08555556 0.08555556 0.08555556
 0.08555556 0.08555556]",1
2,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.09007936507936506,1.939183235168457,0.9285714285714286,0.0714285714285714,0.8571428571428571,0.8571428571428571,1.0,1.0,0.9230769230769231,0.8660254037844387,0.8979591836734694,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",44,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 1 1 0 1 0 0 1 0 1 0 1 0 1
 0 1 1 0 1 0 0 1 1 0 1 0 1 1 1 1 1 1 0 1 0 1 1 0 1 1 1 0 0 0 0 1 1 1 0 0 0
 0 1 1 0 1 0 1 1 0 0 0 1 0 0 1 0 1 0 0 1 0 1 1 0 1]","[0.09007937 0.09007937 0.09007937 0.09007937 0.09007937 0.09007937
 0.09007937 0.09007937 0.09007937 0.09007937 0.09007937 0.09007937
 0.09007937 0.09007937 0.09007937 0.09007937 0.09007937 0.09007937
 0.09007937 0.09007937 0.09007937 0.09007937 0.09007937 0.09007937
 0.09007937 0.09007937 0.09007937 0.09007937 0.09007937 0.09007937
 0.09007937 0.09007937 0.09007937 0.09007937 0.09007937 0.09007937
 0.09007937 0.09007937 0.09007937 0.09007937 0.09007937 0.09007937
 0.09007937 0.09007937 0.09007937 0.09007937 0.09007937 0.09007937
 0.09007937 0.09007937]",1
3,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.08906926406926405,1.929828405380249,0.9285714285714286,0.0714285714285714,0.8571428571428571,0.8571428571428571,1.0,1.0,0.9230769230769231,0.8660254037844387,0.9897959183673469,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",42,"[1 0 1 0 0 0 1 0 0 0 0 1 0 1 0 1 0 1 0 1 1 1 0 0 0 1 0 1 1 0 0 0 1 0 1 0 0
 1 0 0 1 1 0 1 0 0 1 1 1 0 0 0 1 0 1 1 0 1 1 0 0 1 1 1 0 0 0 0 1 1 0 1 1 0
 1 0 0 0 1 1 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0]","[0.08906926 0.08906926 0.08906926 0.08906926 0.08906926 0.08906926
 0.08906926 0.08906926 0.08906926 0.08906926 0.08906926 0.08906926
 0.08906926 0.08906926 0.08906926 0.08906926 0.08906926 0.08906926
 0.08906926 0.08906926 0.08906926 0.08906926 0.08906926 0.08906926
 0.08906926 0.08906926 0.08906926 0.08906926 0.08906926 0.08906926
 0.08906926 0.08906926 0.08906926 0.08906926 0.08906926 0.08906926
 0.08906926 0.08906926 0.08906926 0.08906926 0.08906926 0.08906926
 0.08906926 0.08906926 0.08906926 0.08906926 0.08906926 0.08906926
 0.08906926 0.08906926]",1
4,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.16046176046176053,1.927487850189209,0.8571428571428571,0.1428571428571429,0.7142857142857143,0.7142857142857143,1.0,1.0,0.8333333333333334,0.7453559924999299,0.9285714285714286,"[[7,0],
 [2,5]]","[7, 0, 2, 5]","(2, 2)",49,"[0 1 0 0 1 0 0 1 1 1 1 0 1 0 0 1 0 1 0 0 0 1 0 1 1 1 1 1 0 1 0 1 1 0 1 0 1
 1 0 0 0 1 1 1 0 1 1 0 0 0 0 0 1 1 0 1 0 0 0 1 1 0 1 0 1 0 0 0 1 0 1 1 1 0
 0 1 0 0 0 0 0 1 1 1 0 1 1 0 1 1 0 0 1 0 1 0 0 1 1]","[0.229329   0.229329   0.229329   0.16955267 0.16955267 0.16955267
 0.16955267 0.16955267 0.16955267 0.16955267 0.16450216 0.16450216
 0.16450216 0.16450216 0.16450216 0.16450216 0.16450216 0.16450216
 0.16450216 0.16349206 0.16349206 0.16349206 0.16349206 0.16349206
 0.16349206 0.16147186 0.16147186 0.16147186 0.16147186 0.16147186
 0.16147186 0.16147186 0.16147186 0.16147186 0.16147186 0.16147186
 0.16147186 0.16147186 0.16147186 0.16147186 0.16147186 0.16046176
 0.16046176 0.16046176 0.16046176 0.16046176 0.16046176 0.16046176
 0.16046176 0.16046176]",1
5,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.15995670995671002,1.9316275119781494,0.8571428571428571,0.1428571428571429,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.7857142857142857,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",48,"[0 0 0 0 1 1 1 0 1 1 1 1 1 1 1 0 1 0 0 0 1 1 0 1 1 0 1 1 1 0 0 1 0 1 0 1 0
 1 0 1 1 1 0 0 0 1 1 1 0 0 0 1 0 0 0 1 0 0 1 1 1 1 0 0 0 0 0 0 1 0 1 0 0 1
 1 0 1 1 0 0 0 0 1 1 1 1 0 1 0 0 0 0 1 1 0 0 1 0 0]","[0.2273088  0.2273088  0.2273088  0.2273088  0.2273088  0.2273088
 0.2273088  0.2273088  0.2273088  0.2273088  0.2273088  0.2273088
 0.2273088  0.2273088  0.2273088  0.2273088  0.2273088  0.2273088
 0.2273088  0.2273088  0.2273088  0.2273088  0.2273088  0.2273088
 0.2273088  0.2273088  0.2273088  0.2273088  0.2273088  0.2273088
 0.16197691 0.16197691 0.16197691 0.15995671 0.15995671 0.15995671
 0.15995671 0.15995671 0.15995671 0.15995671 0.15995671 0.15995671
 0.15995671 0.15995671 0.15995671 0.15995671 0.15995671 0.15995671
 0.15995671 0.15995671]",1
6,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.2961760461760462,1.9078452587127686,0.7142857142857143,0.2857142857142857,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.6666666666666666,0.75,0.4472135954999579,0.6836734693877552,"[[4,3],
 [1,6]]","[4, 3, 1, 6]","(2, 2)",49,"[0 0 0 1 1 0 1 1 1 0 1 1 0 0 1 1 0 0 1 0 1 0 1 1 0 0 0 0 0 1 0 0 1 0 1 1 0
 1 1 0 1 0 0 1 1 1 0 1 1 1 0 1 1 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 1 1
 1 0 1 1 1 0 0 0 0 0 1 1 0 1 1 1 0 0 0 1 0 1 0 1 1]","[0.36655844 0.36655844 0.30324675 0.30324675 0.30324675 0.30324675
 0.30324675 0.30324675 0.30324675 0.30324675 0.3027417  0.3027417
 0.3027417  0.3027417  0.3027417  0.3027417  0.3027417  0.3027417
 0.30021645 0.30021645 0.30021645 0.30021645 0.30021645 0.29819625
 0.29819625 0.29819625 0.29819625 0.29718615 0.29718615 0.29718615
 0.29617605 0.29617605 0.29617605 0.29617605 0.29617605 0.29617605
 0.29617605 0.29617605 0.29617605 0.29617605 0.29617605 0.29617605
 0.29617605 0.29617605 0.29617605 0.29617605 0.29617605 0.29617605
 0.29617605 0.29617605]",1
7,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.22932900432900435,1.9420199394226074,0.7857142857142857,0.2142857142857143,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8333333333333334,0.7692307692307693,0.5773502691896257,0.8571428571428572,"[[6,1],
 [2,5]]","[6, 1, 2, 5]","(2, 2)",51,"[1 1 0 1 1 1 0 0 1 1 0 0 1 1 0 1 1 1 1 1 0 1 0 1 1 1 0 0 0 0 1 1 0 1 1 0 1
 1 0 1 0 0 0 1 1 0 1 1 0 0 1 0 0 1 1 0 1 1 0 0 1 0 1 1 1 0 1 0 1 0 0 0 1 0
 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 1 0 1 1 0 0 0 1 1 1]","[0.3037518  0.3037518  0.3037518  0.3017316  0.3017316  0.3017316
 0.3017316  0.3017316  0.3017316  0.2987013  0.2987013  0.2987013
 0.2987013  0.2987013  0.2987013  0.2987013  0.23286436 0.23286436
 0.23286436 0.23286436 0.23286436 0.23286436 0.23286436 0.23286436
 0.23286436 0.23185426 0.23185426 0.23185426 0.23185426 0.23185426
 0.23185426 0.23185426 0.23185426 0.23185426 0.23185426 0.23185426
 0.23185426 0.23185426 0.23185426 0.23185426 0.229329   0.229329
 0.229329   0.229329   0.229329   0.229329   0.229329   0.229329
 0.229329   0.229329  ]",1
8,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.1574314574314575,1.928318738937378,0.8571428571428571,0.1428571428571429,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.8571428571428571,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",43,"[0 0 0 0 0 1 1 1 1 0 1 0 1 0 1 0 0 0 1 1 0 1 0 1 0 0 1 1 1 0 0 0 0 0 1 1 0
 1 0 1 0 1 0 0 0 0 1 0 1 1 1 1 1 0 0 1 1 0 0 1 1 0 1 0 0 1 0 0 0 0 0 1 1 1
 0 0 0 0 1 1 1 0 0 1 1 1 0 0 0 0 0 0 1 1 0 0 1 0 0]","[0.15844156 0.15844156 0.15844156 0.15844156 0.15844156 0.15844156
 0.15844156 0.15844156 0.15844156 0.15844156 0.15844156 0.15844156
 0.15844156 0.15844156 0.15844156 0.15844156 0.15844156 0.15844156
 0.15844156 0.15844156 0.15844156 0.15844156 0.15844156 0.15844156
 0.15844156 0.15844156 0.15844156 0.15844156 0.15844156 0.15844156
 0.15844156 0.15844156 0.15844156 0.15844156 0.15844156 0.15844156
 0.15844156 0.15844156 0.15844156 0.15844156 0.15844156 0.15844156
 0.15844156 0.15844156 0.15844156 0.15844156 0.15844156 0.15743146
 0.15743146 0.15743146]",1
9,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.22882395382395385,1.9865696430206299,0.7857142857142857,0.2142857142857143,1.0,1.0,0.5714285714285714,0.7,0.8235294117647058,0.6324555320336759,0.673469387755102,"[[4,3],
 [0,7]]","[4, 3, 0, 7]","(2, 2)",50,"[0 1 0 1 0 0 1 0 1 1 0 1 0 1 1 1 0 1 0 1 0 1 1 1 0 1 1 0 1 1 0 0 0 1 0 0 1
 1 0 0 0 0 0 0 1 1 0 1 1 0 0 1 1 0 0 1 0 1 1 0 1 0 1 0 1 1 0 0 0 1 1 0 1 0
 1 1 0 0 0 0 1 1 1 0 1 1 1 0 0 1 1 0 0 0 0 1 1 1 0]","[0.29011544 0.29011544 0.29011544 0.29011544 0.29011544 0.29011544
 0.29011544 0.29011544 0.29011544 0.29011544 0.29011544 0.29011544
 0.29011544 0.29011544 0.29011544 0.29011544 0.29011544 0.22882395
 0.22882395 0.22882395 0.22882395 0.22882395 0.22882395 0.22882395
 0.22882395 0.22882395 0.22882395 0.22882395 0.22882395 0.22882395
 0.22882395 0.22882395 0.22882395 0.22882395 0.22882395 0.22882395
 0.22882395 0.22882395 0.22882395 0.22882395 0.22882395 0.22882395
 0.22882395 0.22882395 0.22882395 0.22882395 0.22882395 0.22882395
 0.22882395 0.22882395]",1
10,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.08906926406926405,1.959519386291504,0.9285714285714286,0.0714285714285714,1.0,1.0,0.8333333333333334,0.8888888888888888,0.9411764705882353,0.8606629658238705,0.9583333333333334,"[[5,1],
 [0,8]]","[5, 1, 0, 8]","(2, 2)",42,"[1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 1 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0
 0 0 1 0 1 0 1 1 1 1 1 0 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 0 0 0 1 0 0
 0 0 0 0 0 1 1 1 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 1 0]","[0.15995671 0.15995671 0.15995671 0.15995671 0.15995671 0.15995671
 0.15995671 0.15995671 0.15995671 0.15995671 0.15995671 0.15995671
 0.15995671 0.15995671 0.15995671 0.15995671 0.15995671 0.15995671
 0.15995671 0.15995671 0.15995671 0.09816017 0.09816017 0.09816017
 0.09816017 0.09816017 0.09816017 0.09816017 0.09816017 0.09816017
 0.09816017 0.09816017 0.09816017 0.09816017 0.09816017 0.09816017
 0.09816017 0.09816017 0.09816017 0.09816017 0.09816017 0.09816017
 0.08906926 0.08906926 0.08906926 0.08906926 0.08906926 0.08906926
 0.08906926 0.08906926]",1
1,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.2740404040404041,1.9148123264312744,0.7333333333333333,0.2666666666666667,0.75,0.75,0.7142857142857143,0.75,0.75,0.4642857142857143,0.7589285714285715,"[[5,2],
 [2,6]]","[5, 2, 2, 6]","(2, 2)",41,"[1 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 1 1 0 0 1 0 1 1 1 1 0 1 0 1 0 0 0 0 1 0
 1 0 0 1 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 1 1 0 0 1 1 1 0 0 1 0 1 0 1 1 1 1 0
 0 0 0 1 0 0 1 0 0 0 0 1 1 1 0 1 0 1 0 0 0 0 0 1 0]","[0.27454545 0.27454545 0.27454545 0.27454545 0.27454545 0.27454545
 0.27454545 0.27454545 0.27454545 0.27454545 0.27454545 0.27454545
 0.27454545 0.27454545 0.27454545 0.27454545 0.27454545 0.27454545
 0.27454545 0.27454545 0.27454545 0.27454545 0.27454545 0.27454545
 0.27454545 0.27454545 0.27454545 0.27454545 0.27454545 0.27454545
 0.27454545 0.27454545 0.27454545 0.27454545 0.27454545 0.27454545
 0.27454545 0.27454545 0.27454545 0.27454545 0.27454545 0.27454545
 0.27454545 0.27454545 0.27454545 0.2740404  0.2740404  0.2740404
 0.2740404  0.2740404 ]",2
2,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.08906926406926405,1.929577112197876,0.9285714285714286,0.0714285714285714,0.8571428571428571,0.8571428571428571,1.0,1.0,0.9230769230769231,0.8660254037844387,0.8979591836734694,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",42,"[0 1 0 1 1 1 1 1 1 1 1 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 1 0
 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 1 0 0 1 0 1 0
 1 0 1 1 1 0 1 0 0 1 0 1 0 1 1 0 1 1 1 0 1 0 0 1 0]","[0.09058442 0.09058442 0.09058442 0.09058442 0.09058442 0.09058442
 0.09058442 0.09058442 0.09058442 0.09058442 0.09058442 0.09058442
 0.09058442 0.09058442 0.09058442 0.09058442 0.09058442 0.09058442
 0.09058442 0.09058442 0.09058442 0.09058442 0.09058442 0.09058442
 0.09058442 0.09058442 0.09058442 0.09058442 0.09058442 0.09058442
 0.09058442 0.09058442 0.09058442 0.09058442 0.09058442 0.09058442
 0.09058442 0.09058442 0.09058442 0.08906926 0.08906926 0.08906926
 0.08906926 0.08906926 0.08906926 0.08906926 0.08906926 0.08906926
 0.08906926 0.08906926]",2
3,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.08805916305916305,1.8839893341064453,0.9285714285714286,0.0714285714285714,0.8571428571428571,0.8571428571428571,1.0,1.0,0.9230769230769231,0.8660254037844387,0.9795918367346939,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",40,"[0 1 1 0 0 1 0 1 1 0 0 0 0 1 1 1 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1
 0 0 0 1 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 1 1 1 0 1 1 0 0 1 0 1 0 1 0 1 1 0 0
 0 1 1 0 0 1 1 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 1 1]","[0.09108947 0.09108947 0.09108947 0.09108947 0.09108947 0.09108947
 0.09108947 0.09108947 0.09108947 0.09108947 0.09108947 0.09108947
 0.09108947 0.09108947 0.09108947 0.09108947 0.09108947 0.09108947
 0.09108947 0.09108947 0.09108947 0.09108947 0.09108947 0.09108947
 0.09108947 0.09108947 0.09108947 0.09108947 0.09108947 0.09108947
 0.09108947 0.09108947 0.09108947 0.09108947 0.09108947 0.08856421
 0.08856421 0.08856421 0.08856421 0.08805916 0.08805916 0.08805916
 0.08805916 0.08805916 0.08805916 0.08805916 0.08805916 0.08805916
 0.08805916 0.08805916]",2
4,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.2237734487734488,1.906785488128662,0.7857142857142857,0.2142857142857143,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.75,0.8,0.5773502691896257,0.8163265306122449,"[[5,2],
 [1,6]]","[5, 2, 1, 6]","(2, 2)",40,"[1 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 1 0 1 0 1 0 1
 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0 1 1 1 1 1 0 0 0 1 0 0 0 0 1 1 1
 1 0 1 0 0 1 0 0 1 0 1 0 1 1 0 1 0 0 1 0 1 0 0 1 1]","[0.22478355 0.22478355 0.22478355 0.22478355 0.22478355 0.22478355
 0.22478355 0.22478355 0.22478355 0.22478355 0.22478355 0.22478355
 0.22478355 0.22478355 0.22478355 0.22478355 0.22478355 0.22478355
 0.22478355 0.22478355 0.22478355 0.22478355 0.22478355 0.22478355
 0.22478355 0.22478355 0.22478355 0.22478355 0.22478355 0.22478355
 0.22478355 0.22478355 0.22478355 0.22478355 0.22478355 0.22478355
 0.22478355 0.22478355 0.22377345 0.22377345 0.22377345 0.22377345
 0.22377345 0.22377345 0.22377345 0.22377345 0.22377345 0.22377345
 0.22377345 0.22377345]",2
5,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.16197691197691205,1.9844014644622803,0.8571428571428571,0.1428571428571429,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.8673469387755102,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",52,"[1 1 0 0 0 1 1 0 1 1 0 1 1 0 0 0 1 1 0 1 0 0 0 0 0 1 0 1 1 0 1 1 1 0 0 0 0
 0 0 0 1 1 1 1 0 1 1 1 1 0 0 1 1 1 1 0 1 1 1 0 1 1 0 0 0 1 0 1 1 0 0 1 0 0
 1 1 1 1 1 0 0 0 1 1 0 0 1 1 0 1 1 1 1 0 0 1 0 0 0]","[0.17157287 0.17157287 0.17157287 0.17157287 0.17157287 0.17157287
 0.17157287 0.17157287 0.17157287 0.17157287 0.17157287 0.17005772
 0.17005772 0.17005772 0.16450216 0.16450216 0.16450216 0.16450216
 0.16248196 0.16248196 0.16197691 0.16197691 0.16197691 0.16197691
 0.16197691 0.16197691 0.16197691 0.16197691 0.16197691 0.16197691
 0.16197691 0.16197691 0.16197691 0.16197691 0.16197691 0.16197691
 0.16197691 0.16197691 0.16197691 0.16197691 0.16197691 0.16197691
 0.16197691 0.16197691 0.16197691 0.16197691 0.16197691 0.16197691
 0.16197691 0.16197691]",2
6,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.09411976911976912,1.9026737213134766,0.9285714285714286,0.0714285714285714,1.0,1.0,0.8571428571428571,0.875,0.9333333333333333,0.8660254037844387,0.9795918367346939,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",52,"[1 1 0 1 0 0 0 0 1 1 0 0 1 1 1 1 0 1 0 1 0 0 1 1 1 0 0 0 1 1 1 0 0 1 1 0 0
 1 0 1 0 0 0 1 0 0 1 1 1 0 1 1 0 0 1 0 1 1 1 1 1 1 0 0 0 0 0 1 1 0 1 0 0 0
 1 1 1 1 1 0 0 0 1 0 0 1 1 0 0 0 1 1 1 0 1 1 0 1 1]","[0.15692641 0.10169553 0.10169553 0.10169553 0.09816017 0.09816017
 0.09816017 0.09816017 0.09816017 0.09816017 0.09816017 0.09816017
 0.09816017 0.09512987 0.09512987 0.09512987 0.09512987 0.09512987
 0.09512987 0.09512987 0.09512987 0.09512987 0.09512987 0.09512987
 0.09512987 0.09512987 0.09512987 0.09411977 0.09411977 0.09411977
 0.09411977 0.09411977 0.09411977 0.09411977 0.09411977 0.09411977
 0.09411977 0.09411977 0.09411977 0.09411977 0.09411977 0.09411977
 0.09411977 0.09411977 0.09411977 0.09411977 0.09411977 0.09411977
 0.09411977 0.09411977]",2
7,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.16803751803751812,1.968057632446289,0.8571428571428571,0.1428571428571429,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.826530612244898,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",64,"[1 0 0 0 0 0 1 0 1 1 0 1 0 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1
 0 0 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 1 1 0 0 0 0 1 0 1 1 0 1 1 1 1 0 0
 1 0 1 1 0 1 1 1 1 0 0 1 1 1 0 1 1 0 1 1 0 0 1 0 1]","[0.2252886  0.2252886  0.2252886  0.2252886  0.16955267 0.16955267
 0.16955267 0.16955267 0.16955267 0.16955267 0.16955267 0.16955267
 0.16955267 0.16955267 0.16955267 0.16955267 0.16955267 0.16955267
 0.16955267 0.16955267 0.16955267 0.16955267 0.16955267 0.16955267
 0.16955267 0.16955267 0.16803752 0.16803752 0.16803752 0.16803752
 0.16803752 0.16803752 0.16803752 0.16803752 0.16803752 0.16803752
 0.16803752 0.16803752 0.16803752 0.16803752 0.16803752 0.16803752
 0.16803752 0.16803752 0.16803752 0.16803752 0.16803752 0.16803752
 0.16803752 0.16803752]",2
8,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.09361471861471861,1.905059814453125,0.9285714285714286,0.0714285714285714,1.0,1.0,0.8571428571428571,0.875,0.9333333333333333,0.8660254037844387,0.9693877551020409,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",51,"[0 1 1 1 0 1 1 0 0 1 1 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 0
 1 1 1 0 1 1 1 1 0 1 1 1 0 1 0 1 0 0 1 0 0 0 1 0 0 1 0 1 0 0 1 0 1 0 0 1 1
 1 1 1 0 1 0 0 1 1 0 0 1 0 1 1 0 1 0 1 1 1 0 1 0 0]","[0.16046176 0.16046176 0.16046176 0.16046176 0.16046176 0.16046176
 0.16046176 0.16046176 0.16046176 0.16046176 0.16046176 0.16046176
 0.16046176 0.16046176 0.16046176 0.16046176 0.16046176 0.16046176
 0.16046176 0.16046176 0.16046176 0.16046176 0.16046176 0.16046176
 0.16046176 0.16046176 0.16046176 0.15945166 0.15945166 0.15945166
 0.15945166 0.15945166 0.09361472 0.09361472 0.09361472 0.09361472
 0.09361472 0.09361472 0.09361472 0.09361472 0.09361472 0.09361472
 0.09361472 0.09361472 0.09361472 0.09361472 0.09361472 0.09361472
 0.09361472 0.09361472]",2
9,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.2247835497835498,2.0023910999298096,0.7857142857142857,0.2142857142857143,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.75,0.8,0.5773502691896257,0.7653061224489796,"[[5,2],
 [1,6]]","[5, 2, 1, 6]","(2, 2)",42,"[0 1 1 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 1 1 0 0 1 1 0 0 0 0 1 0 1 0 1 0 1 1 0
 1 0 0 1 1 0 0 1 1 0 1 0 1 0 0 1 0 0 1 1 0 1 0 0 0 0 1 1 0 1 0 0 1 0 0 0 1
 1 0 1 0 1 0 0 0 0 0 1 1 1 0 0 1 1 0 1 0 1 0 1 0 0]","[0.29365079 0.29365079 0.29365079 0.29365079 0.29365079 0.23690476
 0.23690476 0.23690476 0.23690476 0.23690476 0.23690476 0.23690476
 0.23134921 0.23134921 0.23134921 0.23134921 0.23134921 0.23134921
 0.23134921 0.23134921 0.23134921 0.22882395 0.22882395 0.22882395
 0.22882395 0.22882395 0.22882395 0.22882395 0.22882395 0.22882395
 0.22882395 0.22882395 0.22882395 0.22882395 0.22882395 0.22680375
 0.22680375 0.22680375 0.22478355 0.22478355 0.22478355 0.22478355
 0.22478355 0.22478355 0.22478355 0.22478355 0.22478355 0.22478355
 0.22478355 0.22478355]",2
10,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.29213564213564214,1.9412462711334229,0.7142857142857143,0.2857142857142857,0.75,0.75,0.6666666666666666,0.75,0.75,0.4166666666666667,0.7916666666666666,"[[4,2],
 [2,6]]","[4, 2, 2, 6]","(2, 2)",41,"[1 1 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 1 1 1 1 0 0 0 1 1 0 1 1 0 0 1 1 1 1 0 0
 1 0 1 0 0 0 1 0 0 0 1 1 1 1 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0
 0 1 0 0 1 0 1 0 1 0 1 1 1 0 0 0 0 0 0 1 0 0 1 0 1]","[0.30678211 0.30678211 0.30678211 0.30678211 0.30678211 0.3027417
 0.3027417  0.3027417  0.3007215  0.3007215  0.2997114  0.2997114
 0.2997114  0.2997114  0.29819625 0.29819625 0.29819625 0.29617605
 0.29617605 0.29617605 0.29617605 0.29617605 0.29617605 0.29617605
 0.29617605 0.29617605 0.29617605 0.29617605 0.29516595 0.29516595
 0.29516595 0.29365079 0.29365079 0.29365079 0.29365079 0.29365079
 0.29365079 0.29365079 0.29213564 0.29213564 0.29213564 0.29213564
 0.29213564 0.29213564 0.29213564 0.29213564 0.29213564 0.29213564
 0.29213564 0.29213564]",2
